GLN;DESCR1;DESCR2;ROLE/0/TYPE;ROLE/0/STREET;ROLE/0/STRNO;ROLE/0/ZIP;ROLE/0/CITY;ROLE/0/CTN;ROLE/0/CNTRY;Adresse;Y;X;lon;lat
7601001006560;Pharmacie du Gibloux;Gestanova SA;Pharm;route du Bugnon;;1726;Farvagny-le-Grand;FR;CH;route du Bugnon  Farvagny-le-Grand;571700.25;174749.875;7.068453311920166;46.72334671020508
7601002015677;CHUV Département de psychiatrie;Hôpital de Cery;Hosp;route de Cery;;1008;Prilly;VD;CH;route de Cery  Prilly;536085.375;155659.515625;6.60526704788208;46.549163818359375
7601001362802;Pharmacie Bellevaux;Pharmacies BENU SA;Pharm;route Aloys-Fauquez;28;1018;Lausanne;VD;CH;route Aloys-Fauquez 28 Lausanne;538153.75;153768.265625;6.632487773895264;46.532344818115234
7601001364608;Amavita NutriBio La Palud;GaleniCare SA;DruSto;place de la Palud;23;1003;Lausanne;VD;CH;place de la Palud 23 Lausanne;538211.625;152586.5;6.633399963378906;46.52172088623047
7601001355996;Pharmacie Amavita St- Laurent;GaleniCare SA;Pharm;rue Haldimand;14;1003;Lausanne;VD;CH;rue Haldimand 14 Lausanne;537969.0625;152662.78125;6.6302289962768555;46.52238464355469
7601002000239;CHUV Centre Hospitalier Universitaire Vaudois;Pharmacie d'établissement;Hosp;Rue du Bugnon;46;1011;Lausanne;VD;CH;Rue du Bugnon 46 Lausanne;538919.375;152919.578125;6.642579555511475;46.5247802734375
7601002102537;Unisanté - Pharmacie d'établissement;Policlinique médicale universitaire;Hosp;rue du Bugnon;44;1011;Lausanne;VD;CH;rue du Bugnon 44 Lausanne;538808.375;152942.578125;6.641129970550537;46.52497863769531
7601001368071;Pharmacie Amavita Château-d'Oex;GaleniCare SA;Pharm;Grand Rue;67;1660;Château-d'Oex;VD;CH;Grand Rue 67 Château-d'Oex;576344.0;147006.984375;7.1306233406066895;46.473968505859375
7601001355286;Pharmacie du Jorat;Mack David;Pharm;route de Servion;6;1083;Mézières VD;VD;CH;route de Servion 6 Mézières VD;549830.9375;160094.28125;6.783999919891357;46.59022903442383
7601001016101;Pharmacie Haroun;Haroun Victor;Pharm;Grand Rue;53;1660;Château-d'Oex;VD;CH;Grand Rue 53 Château-d'Oex;576222.0;146954.609375;7.129037857055664;46.47349166870117
7601002028622;Luzerner Kantonsspital - Standort Luzern;Pharmazie;Hosp;Spitalstrasse;;6004;Luzern;LU;CH;Spitalstrasse  Luzern;665671.0625;212457.953125;8.30307388305664;47.05989456176758
7601001335493;Apotheke Tschupp;Tschupp Christoph;Pharm;Bahnhofstrasse;14;5200;Brugg AG;AG;CH;Bahnhofstrasse 14 Brugg AG;657935.6875;259315.21875;8.20729923248291;47.482051849365234
7601001291621;TopPharm Apotheke Göldlin;Dr. Göldlin von Tiefenau Christian;Pharm;Rathausgasse;29;5000;Aarau;AG;CH;Rathausgasse 29 Aarau;645736.75;249240.765625;8.04442310333252;47.39240646362305
7601001333857;Apotheke zur Taube;Holzgang Apotheke AG;Pharm;Unterdorf;8;6403;Küssnacht am Rigi;SZ;CH;Unterdorf 8 Küssnacht am Rigi;676090.1875;214923.15625;8.440621376037598;47.08095169067383
7601001366800;Farmacia San Nicolao;Asioli Antonia;Pharm;Via Besso;7;6900;Lugano;TI;CH;Via Besso 7 Lugano;716593.125;96035.109375;8.943826675415039;46.00579833984375
7601001351615;Farmacia Solduno SA;;Pharm;via Franzoni;73;6600;Solduno;TI;CH;via Franzoni 73 Solduno;703452.0625;113952.1484375;8.77816104888916;46.169090270996094
7601001024052;Farmacia Cassarate;Thomi Franco;Pharm;via delle Scuole;6;6900;Lugano;TI;CH;via delle Scuole 6 Lugano;718382.75;96114.6171875;8.966944694519043;46.006202697753906
7601001019249;Farmacia Victoria SA;;Pharm;riva Antonio Caccia;1;6900;Lugano;TI;CH;riva Antonio Caccia 1 Lugano;716939.25;95249.4453125;8.948098182678223;45.99867248535156
7601001016514;Farmacia Internazionale;di Giovanni Bordoni & Co. SA;Pharm;piazza Riforma;10;6900;Lugano;TI;CH;piazza Riforma 10 Lugano;717197.125;95841.2421875;8.951573371887207;46.00395202636719
7601001006539;Farmacia Di Besso;Bossi Antonio;Pharm;via Besso;23a;6900;Lugano;TI;CH;via Besso 23a Lugano;716440.0;96131.0;8.941873550415039;46.00668716430664
7601001025295;Farmacia Cassina;Dott. Cassina Aldo;Pharm;via San Gottardo;;6596;Gordola;TI;CH;via San Gottardo  Gordola;709689.5625;115442.0546875;8.859260559082031;46.18150329589844
7601001364134;Amavita Apotheke Chly Wabern;GaleniCare AG;Pharm;Seftigenstrasse;368;3084;Wabern;BE;CH;Seftigenstrasse 368 Wabern;601609.375;196834.484375;7.459763050079346;46.922607421875
7601001026667;Farmacia Cattaneo SA;;Pharm;via Giacomo Luvini;7;6900;Lugano;TI;CH;via Giacomo Luvini 7 Lugano;717157.0;95907.0078125;8.951071739196777;46.00455093383789
7601001029040;Farmacia Nuova;Froesch Reto;Pharm;via Borgo;20;6612;Ascona;TI;CH;via Borgo 20 Ascona;702694.0;112521.8046875;8.768033981323242;46.156341552734375
7601001018457;Farmacia Chiesa SA;;Pharm;corso San Gottardo;51;6830;Chiasso;TI;CH;corso San Gottardo 51 Chiasso;723556.0;77138.0078125;9.0287446975708;45.8346061706543
7601001023758;Farmacia Ferrari;Eredi Ferrari Costantino;Pharm;via Giuseppe Motta;26;6850;Mendrisio;TI;CH;via Giuseppe Motta 26 Mendrisio;720087.25;80878.1015625;8.985064506530762;45.868865966796875
7601001025561;Farmacia Elvetica;Fransioli-Ignazio Monique;Pharm;piazza Stazione;4;6600;Muralto;TI;CH;piazza Stazione 4 Muralto;705203.0625;114290.90625;8.80090618133545;46.17186737060547
7601001007123;Farmacia Nassa SA;;Pharm;via Nassa;21;6900;Lugano;TI;CH;via Nassa 21 Lugano;717056.4375;95573.40625;8.949691772460938;46.00156784057617
7601001011359;Farmacia Internazionale;Juri Cretti Donatella;Pharm;via Giulio Pocobelli;15;6815;Melide;TI;CH;via Giulio Pocobelli 15 Melide;716965.5625;90298.7890625;8.947208404541016;45.95414352416992
7601001023512;Farmacia Centrale Küng SA;;Pharm;Via della Posta;8;6900;Lugano;TI;CH;Via della Posta 8 Lugano;717284.0;95959.0078125;8.95272445678711;46.0049934387207
7601001284173;Farmacia Lepori;Eredi dott. Elio Lepori;Pharm;via Canonica;;6950;Tesserete;TI;CH;via Canonica  Tesserete;718303.5;102745.6328125;8.96759033203125;46.065853118896484
7601001367692;Farmacia Liver SA;;Pharm;via E. Bossi;;6830;Chiasso;TI;CH;via E. Bossi  Chiasso;723740.75;77272.421875;9.031156539916992;45.83578109741211
7601001011076;Farmacia Luganese SA;;Pharm;Via Pessina;12;6900;Lugano;TI;CH;Via Pessina 12 Lugano;717114.4375;95871.015625;8.95051383972168;46.004234313964844
7601001014848;Farmacia pharmacieplus malè;Farmacia Malè SA;Pharm;piazza Indipendenza;4;6500;Bellinzona;TI;CH;piazza Indipendenza 4 Bellinzona;722315.0;116603.3984375;9.023039817810059;46.18977355957031
7601001005839;Farmacia San Luca;Tanzi Mario;Pharm;via G. B. Pioda;9;6900;Lugano;TI;CH;via G. B. Pioda 9 Lugano;717371.4375;96202.0546875;8.953912734985352;46.007164001464844
7601001026896;Farmacia Del Gambarogno SA;;Pharm;via Cantonale;94;6573;Magadino;TI;CH;via Cantonale 94 Magadino;710031.6875;111815.359375;8.862837791442871;46.14883041381836
7601001021266;Farmacia Pedrazzetti;Pedrazzetti SA;Pharm;Largo Libero Olgiati;75;6512;Giubiasco;TI;CH;Largo Libero Olgiati 75 Giubiasco;721352.375;114684.6484375;9.010075569152832;46.172691345214844
7601001326156;Farmacia Pellandini SA;;Pharm;via Molinazzo;22;6517;Arbedo;TI;CH;via Molinazzo 22 Arbedo;723583.0;119293.0;9.04017162322998;46.2137336730957
7601001010864;Farmacia Pestoni;Dott Bernasconi Gerardo;Pharm;via Giulia;;6855;Stabio;TI;CH;via Giulia  Stabio;716395.0;78724.0;8.93699836730957;45.85013961791992
7601001011786;Farmacia di Agno SA;;Pharm;Via Lugano;6;6982;Agno;TI;CH;Via Lugano 6 Agno;713448.875;95093.8359375;8.903017044067383;45.997867584228516
7601001303430;Farmacia Chiassese Farmadomo SA;;Pharm;via Maestri Comacini;8;6830;Chiasso;TI;CH;via Maestri Comacini 8 Chiasso;724046.25;77094.5234375;9.035041809082031;45.83412551879883
7601001011151;Farmacia Quattrini SA;;Pharm;piazza del Ponte;1;6850;Mendrisio;TI;CH;piazza del Ponte 1 Mendrisio;720353.8125;81013.5703125;8.988531112670898;45.87003707885742
7601001234086;Farmacia Malcantonese SA;;Pharm;via Lugano;14;6988;Ponte Tresa;TI;CH;via Lugano 14 Ponte Tresa;710175.0;91740.0546875;8.859981536865234;45.96824645996094
7601001026100;Farmacia San Luca SA;;Pharm;via Golf;46;6987;Caslano;TI;CH;via Golf 46 Caslano;711640.25;93217.265625;8.879231452941895;45.981292724609375
7601001027039;Farmacia Del Corso SA;;Pharm;piazza Col. C. Bernasconi;5;6830;Chiasso;TI;CH;piazza Col. C. Bernasconi 5 Chiasso;723375.5625;77215.71875;9.026443481445312;45.8353385925293
7601001234062;Farmacia Ronchi Luciano e Figlio;Ronchi Luciano e Gabriele;Pharm;via Obino;;6874;Castel San Pietro;TI;CH;via Obino  Castel San Pietro;722304.625;80407.671875;9.013489723205566;45.86423873901367
7601001319523;Farmacia Sciolli;Sciolli Rodolfo;Pharm;via San Gottardo;62;6648;Minusio;TI;CH;via San Gottardo 62 Minusio;706110.4375;114778.21875;8.812764167785645;46.176109313964844
7601001010284;Farmacia Stevenoni SA;;Pharm;Via Trevano;1;6900;Lugano;TI;CH;Via Trevano 1 Lugano;717420.9375;96816.8828125;8.954705238342285;46.01268768310547
7601001338289;Farmacia Castagnola Sagl;;Pharm;Strada di Gandria;4;6976;Castagnola;TI;CH;Strada di Gandria 4 Castagnola;719193.0;95614.0;8.977274894714355;46.001556396484375
7601002005333;St. Claraspital AG;Apotheke;Hosp;Kleinriehenstrasse;30;4002;Basel;BS;CH;Kleinriehenstrasse 30 Basel;613160.125;268427.34375;7.613506317138672;47.566429138183594
7601001350175;Bläsi Apotheke Andenmatten;Andenmatten Cyril;Pharm;Klybeckstrasse;65;4057;Basel;BS;CH;Klybeckstrasse 65 Basel;611425.625;268537.75;7.59045934677124;47.56745529174805
7601001024427;Löwen Apotheke Basel;Erben Dr. P. Giezendanner;Pharm;Greifengasse;14;4058;Basel;BS;CH;Greifengasse 14 Basel;611521.9375;267815.8125;7.591721057891846;47.56095886230469
7601002000833;Universitätsklinik Balgrist;Spitalapotheke;Hosp;Forchstrasse;340;8008;Zürich;ZH;CH;Forchstrasse 340 Zürich;685887.0;245304.328125;8.575407981872559;47.35299301147461
7601002022903;Kantonsspital Baselland - Liestal;Spitalapotheke;Hosp;Rheinstrasse;26;4410;Liestal;BL;CH;Rheinstrasse 26 Liestal;622038.0;259732.5625;7.731049537658691;47.48799133300781
7601002028127;Bethesda Spital AG;Apotheke;Hosp;Gellertstrasse;144;4052;Basel;BS;CH;Gellertstrasse 144 Basel;613441.6875;266398.34375;7.617187023162842;47.54817581176758
7601001367838;tell-apotheke AG;;Pharm;Güterstrasse;223;4053;Basel;BS;CH;Güterstrasse 223 Basel;611828.625;265768.8125;7.595741271972656;47.54254150390625
7601001354371;Gartenstadt Apotheke AG;;Pharm;Stöckackerstrasse;8;4142;Münchenstein;BL;CH;Stöckackerstrasse 8 Münchenstein;612684.8125;263380.46875;7.607046604156494;47.52104568481445
7601001366299;St. Gallus-Apotheke AG;;Pharm;St. Galler-Ring;177;4054;Basel;BS;CH;St. Galler-Ring 177 Basel;609724.125;266867.625;7.567812442779541;47.552459716796875
7601001366701;Pharmacie Amavita Seyon;GaleniCare SA;Pharm;rue du Seyon;14;2000;Neuchâtel;NE;CH;rue du Seyon 14 Neuchâtel;561220.8125;204666.140625;6.928829193115234;46.991920471191406
7601001017856;Pharmacie de la Plaine;Vuadens Jean-Pierre;Pharm;Rue de la Plaine;7;1400;Yverdon-les-Bains;VD;CH;Rue de la Plaine 7 Yverdon-les-Bains;539206.0;181071.296875;6.642587184906006;46.77803421020508
7601001366718;Pharmacie Amavita Espacité;GaleniCare SA;Pharm;Espacité;5;2300;La Chaux-de-Fonds;NE;CH;Espacité 5 La Chaux-de-Fonds;553729.6875;217053.203125;6.829085350036621;47.10285949707031
7601001014879;Pharmacie des Ponts-de-Martel;Veripharm SA;Pharm;Grande-Rue;16;2316;Les Ponts-de-Martel;NE;CH;Grande-Rue 16 Les Ponts-de-Martel;546256.125;205636.484375;6.731992244720459;46.999603271484375
7601001367760;Pharmacie Amavita Tramelan;GaleniCare SA;Pharm;Grand-Rue;153;2720;Tramelan;BE;CH;Grand-Rue 153 Tramelan;574324.0625;230279.53125;7.099630832672119;47.22294998168945
7601001022287;Farmacia St. Antonio Bissone SA;;Pharm;contrada Busi;3;6816;Bissone;TI;CH;contrada Busi 3 Bissone;718350.5;89984.15625;8.964987754821777;45.951072692871094
7601001011595;City-Apotheke zur Sihlporte;Grätzer Marianne;Pharm;Löwenstrasse;1;8001;Zürich;ZH;CH;Löwenstrasse 1 Zürich;682750.75;247490.765625;8.534308433532715;47.3730583190918
7601001010840;Schmiedegg-Apotheke AG;;Pharm;Zurlindenstrasse;60;8003;Zürich;ZH;CH;Zurlindenstrasse 60 Zürich;681721.6875;247103.90625;8.520613670349121;47.36970520019531
7601002017688;Kantonsapotheke Zürich (KAZ);;PubHea;Südstrasse;3;8952;Schlieren;ZH;CH;Südstrasse 3 Schlieren;677468.625;250383.453125;8.46487808227539;47.399715423583984
7601002000536;Spital Zollikerberg;Spitalapotheke;Hosp;Trichtenhauser Strasse;20;8125;Zollikerberg;ZH;CH;Trichtenhauser Strasse 20 Zollikerberg;687598.1875;244883.484375;8.59797191619873;47.34898376464844
7601002004855;Spital Limmattal;Institut für Spitalpharmazie;Hosp;Urdorferstrasse;100;8952;Schlieren;ZH;CH;Urdorferstrasse 100 Schlieren;674949.0;249649.203125;8.431381225585938;47.393402099609375
7601002005036;Stadtspital Waid Zürich;Institut für Spitalpharmazie;Hosp;Tièchestrasse;99;8037;Zürich;ZH;CH;Tièchestrasse 99 Zürich;681671.0;250340.421875;8.520533561706543;47.39881896972656
7601001359451;Amavita Apotheke Poststrasse;GaleniCare AG;Pharm;Poststrasse;9;9000;St. Gallen;SG;CH;Poststrasse 9 St. Gallen;745971.9375;254460.828125;9.373400688171387;47.42475128173828
7601001028012;West-Apotheke;Dr. Zahner Stephan;Pharm;Zürcher Strasse;31;9013;St. Gallen;SG;CH;Zürcher Strasse 31 St. Gallen;744571.5;253826.4375;9.354641914367676;47.41935729980469
7601002016896;Kantonsspital St. Gallen;Spitalpharmazie;Hosp;Rorschacher Strasse;95;9000;St. Gallen;SG;CH;Rorschacher Strasse 95 St. Gallen;746984.4375;255072.4375;9.387016296386719;47.43002700805664
7601001007307;Adler-Apotheke;Dr. U. Reinhard AG;Pharm;Untertor;39;8400;Winterthur;ZH;CH;Untertor 39 Winterthur;696872.3125;261722.109375;8.724343299865723;47.49911117553711
7601001006744;Pill Apotheke Grischuna;Grischuna-Apotheke AG;Pharm;Bahnhofstrasse;44;7000;Chur;GR;CH;Bahnhofstrasse 44 Chur;759612.5625;190992.703125;9.531679153442383;46.85091018676758
7601002023146;Spitalpharmazie Thurgau AG;;Hosp;Spitalcampus;1;8596;Münsterlingen;TG;CH;Spitalcampus 1 Münsterlingen;735095.1875;277132.65625;9.236175537109375;47.63092803955078
7601002000093;Insel Gruppe AG, Inselspital;Institut für Spitalpharmazie;Hosp;Freiburgstrasse;4;3010;Bern;BE;CH;Freiburgstrasse 4 Bern;599102.875;199632.84375;7.426849365234375;46.94778060913086
7601001029514;Bollwerk Apotheke AG;;Pharm;Bollwerk;15;3011;Bern;BE;CH;Bollwerk 15 Bern;600158.125;199808.125;7.440710544586182;46.94935607910156
7601001024755;Pharmacie Amavita Conod;GaleniCare SA;Pharm;rue Pichard;16;1003;Lausanne;VD;CH;rue Pichard 16 Lausanne;538000.5;152601.78125;6.6306471824646;46.5218391418457
7601001364110;Pharmacie St-Paul;Pharmacies BENU SA;Pharm;avenue d'Echallens;63;1004;Lausanne;VD;CH;avenue d'Echallens 63 Lausanne;536887.875;153282.578125;6.616055011749268;46.52785873413086
7601001023062;Pharmacie Moudonnoise P. Aubort SA;;Pharm;avenue de la Gare;1a;1510;Moudon;VD;CH;avenue de la Gare 1a Moudon;551130.4375;168728.5625;6.800037384033203;46.667991638183594
7601001358775;Pharmacie Saba;Sabapharm SA;Pharm;avenue Général-Guisan;9;1800;Vevey;VD;CH;avenue Général-Guisan 9 Vevey;554084.3125;145902.625;6.840912342071533;46.46287536621094
7601001017689;Hirschmatt Apotheke;Dr. Bachmann Christoph;Pharm;Hirschmattstrasse;46;6003;Luzern;LU;CH;Hirschmattstrasse 46 Luzern;666046.875;211017.15625;8.307809829711914;47.046897888183594
7601001301153;Central-Apotheke;Kesselring Franz Christoph;Pharm;Hauptstrasse;37;5734;Reinach AG;AG;CH;Hauptstrasse 37 Reinach AG;656371.625;233842.75;8.183341979980469;47.25309371948242
7601001349414;Globomedica AG;;Whole;Gewerbestrasse;12;8132;Egg bei Zürich;ZH;CH;Gewerbestrasse 12 Egg bei Zürich;694792.9375;239906.953125;8.692124366760254;47.30323028564453
7601001305366;Apotheke zur Waage AG;;Pharm;Inselstrasse;51;4057;Basel;BS;CH;Inselstrasse 51 Basel;611344.5;269654.71875;7.589409351348877;47.57749938964844
7601001367746;Lochergut Apotheke Drogerie GmbH;;Pharm;Badenerstrasse;230;8004;Zürich;ZH;CH;Badenerstrasse 230 Zürich;681484.125;247765.90625;8.517589569091797;47.37569046020508
7601001366343;West-Apotheke Dr. René Saladin;Saladin Jan;Pharm;Schweighofstrasse;245;8055;Zürich;ZH;CH;Schweighofstrasse 245 Zürich;680604.3125;246150.15625;8.50564956665039;47.36126708984375
7601001328167;Apotheke-Drogerie Aemisegger AG;;Pharm;Marktplatz;3;8570;Weinfelden;TG;CH;Marktplatz 3 Weinfelden;725749.4375;269855.0625;9.109801292419434;47.56734848022461
7601001007109;Apotheke Frey AG;;Pharm;Poststrasse;22B;9410;Heiden;AR;CH;Poststrasse 22B Heiden;758039.9375;256956.828125;9.534162521362305;47.44440460205078
7601001013308;Volksapotheke im Dorf;Volksapotheke Schaffhausen;Pharm;Zentralstrasse;49;8212;Neuhausen am Rheinfall;SH;CH;Zentralstrasse 49 Neuhausen am Rheinfall;688701.375;281930.40625;8.619955062866211;47.68199157714844
7601001339828;Pharmacie de la Blécherette;Nguyen Ngoc-Minh-Tam;Pharm;route des Plaines-du-Loup;74;1018;Lausanne;VD;CH;route des Plaines-du-Loup 74 Lausanne;537281.1875;154690.484375;6.6209893226623535;46.54056167602539
7601001361645;Pharmacie Bel-Air;Pharmacies BENU SA;Pharm;place Bel-Air;2;1400;Yverdon-les-Bains;VD;CH;place Bel-Air 2 Yverdon-les-Bains;538796.8125;181338.171875;6.6371941566467285;46.780399322509766
7601001365339;Breitfeld Apotheke AG;;Pharm;Scheibenstrasse;18;3014;Bern;BE;CH;Scheibenstrasse 18 Bern;601181.5625;201047.125;7.454156875610352;46.96050262451172
7601001305793;Pharmacie Amavita Champs-Fréchets;GaleniCare SA;Pharm;promenade des Artisans;34;1217;Meyrin;GE;CH;promenade des Artisans 34 Meyrin;495162.3125;121585.078125;6.079470157623291;46.23751449584961
7601001030145;Apotheke im Rheinpark Rogenmoser AG;;Pharm;Neudorfstrasse;60;9430;St. Margrethen SG;SG;CH;Neudorfstrasse 60 St. Margrethen SG;766875.625;257827.40625;9.651583671569824;47.450050354003906
7601001027886;Tscharnergut-Apotheke;Genossenschafts-Apotheke Bern;Pharm;Fellerstrasse;28;3027;Bern;BE;CH;Fellerstrasse 28 Bern;596271.875;199578.703125;7.389664649963379;46.94728469848633
7601001027879;Freudenberg Apotheke;Genossenschafts-Apotheke Bern;Pharm;Giacomettistrasse;15;3006;Bern;BE;CH;Giacomettistrasse 15 Bern;602602.9375;199368.90625;7.472822666168213;46.94540023803711
7601001030091;Sankt Georg Apotheke AG;;Pharm;Grünaustrasse;1;9470;Buchs SG;SG;CH;Grünaustrasse 1 Buchs SG;754526.75;225907.234375;9.476907730102539;47.16606521606445
7601002023115;Spital Thurgau AG - Kantonsspital Frauenfeld;Apotheke;Hosp;Pfaffenholzstrasse;4;8500;Frauenfeld;TG;CH;Pfaffenholzstrasse 4 Frauenfeld;710766.25;267540.1875;8.91015338897705;47.54923629760742
7601001029385;Pharmacie de la Cerisaie;Aribot Gabrielle;Pharm;route de la Maladière;12;1022;Chavannes-près-Renens;VD;CH;route de la Maladière 12 Chavannes-près-Renens;533193.0625;153326.75;6.567895889282227;46.527896881103516
7601001368682;Pharmacie Amavita Zimmermann;GaleniCare SA;Pharm;rue de Lausanne;2;1950;Sion;VS;CH;rue de Lausanne 2 Sion;593959.5;120187.96875;7.360336780548096;46.23310470581055
7601001014947;Stauffacher Apotheke;Dr. Langer AG;Pharm;Birmensdorferstrasse;1;8004;Zürich;ZH;CH;Birmensdorferstrasse 1 Zürich;682264.4375;247470.890625;8.52786636352539;47.37294006347656
7601001029811;Bruggen-Apotheke AG;;Pharm;Fürstenlandstrasse;183;9014;St. Gallen;SG;CH;Fürstenlandstrasse 183 St. Gallen;742858.8125;252639.59375;9.331572532653809;47.409061431884766
7601002000161;Spitäler Schaffhausen, Kantonsspital;Apotheke;Hosp;Geissbergstrasse;81;8208;Schaffhausen;SH;CH;Geissbergstrasse 81 Schaffhausen;689974.125;285229.21875;8.637574195861816;47.71147918701172
7601001289918;Müli Apotheke AG;;Pharm;Mühlestrasse;1;5702;Niederlenz;AG;CH;Mühlestrasse 1 Niederlenz;655615.1875;250404.078125;8.175403594970703;47.4021110534668
7601001324701;Pharmacie des Colombières;Pharmacies de Versoix SA;Pharm;avenue Adrien-Lachenal;5;1290;Versoix;GE;CH;avenue Adrien-Lachenal 5 Versoix;501820.21875;126196.421875;6.164798259735107;46.279998779296875
